PERSON_ID,PERSON_TYPE,CRASH_RECORD_ID,RD_NO_x,VEHICLE_ID,CRASH_DATE_x,CITY,STATE,ZIPCODE,SEX,AGE,SAFETY_EQUIPMENT,AIRBAG_DEPLOYED,EJECTION,INJURY_CLASSIFICATION,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,BAC_RESULT,CRASH_YEAR_x,RD_NO_y,CRASH_DATE_y,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,CRASH_YEAR_y,TIME
O1089183,DRIVER,edcdf6b7ce6f0cdcd2a5556d145eab1b9b7e51a1de440c347fdd04be3c87c7aba96fb9006855c1efdfd10eddf383b3e5e0a9151260bcb245a7ce41aaed6a690f,JE220349,1033054.0,05/05/2021 12:18:00 PM,CHICAGO,IL,60651,M,20.0,USAGE UNKNOWN,"DEPLOYED, SIDE",NONE,NO INDICATION OF INJURY,NONE,UNKNOWN,NORMAL,TEST NOT OFFERED,2021,JE220349,05/05/2021 12:18:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAWN,ANGLE,UNKNOWN INTERSECTION TYPE,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,Y,"OVER $1,500",05/05/2021 12:20:00 PM,DISREGARDING STOP SIGN,UNABLE TO DETERMINE,3700,W,AUGUSTA BLVD,1112.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12,4,5,41.899193507,-87.71893561200001,POINT (-87.718935611886 41.899193506877),2021,738
O1132710,DRIVER,752dd2f9b15b8af4fecc28eb046a58f63458f52f6b16da52369c9df6e06f765845d54754d3bcd7ba79de1f5e4dfdb2d9fc8ec57760f6e041c8514c1e5c425e46,JE289712,1074456.0,07/04/2021 07:00:00 AM,CHICAGO,IL,60651,F,25.0,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE289712,07/04/2021 07:00:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,Y,"$501 - $1,500",07/04/2021 01:00:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,4700,S,WENTWORTH AVE,224.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7,1,7,41.809082437,-87.63103087399999,POINT (-87.63103087365 41.809082436649),2021,420
O1130579,DRIVER,d9c952c2f243b2508cbba70f08da4a0bf35dab569d39f57c8fb20f014a8ca2b1314893cb93908c1f33704870badac390549ec8dc4d914c196ccd41a54c51aafa,JE286329,1072456.0,07/01/2021 05:12:00 PM,CHICAGO,IL,60649,F,22.0,SHOULD/LAP BELT USED IMPROPERLY,"DEPLOYED, FRONT",NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE286329,07/01/2021 05:12:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,Y,"$501 - $1,500",07/01/2021 05:16:00 PM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,9300,S,COTTAGE GROVE AVE,633.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17,5,7,41.725620485,-87.60471001399999,POINT (-87.604710014159 41.725620485092),2021,1032
O1063247,DRIVER,ddbe0ea437ecf0e9b423b5d51aa932c794fd3f978ff299afa724e55e654b406de7d63f4ad8cd12fd368001e14abb8348be9d6b1270d8525e88c2180c22332d58,JE176909,1008289.0,03/22/2021 10:45:00 PM,CHICAGO,IL,60649,M,58.0,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,OTHER,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE176909,03/22/2021 10:45:00 PM,55,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,Y,"OVER $1,500",03/23/2021 12:15:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,6700,S,SOUTH SHORE DR,331.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,2,3,41.773438565999996,-87.56689930600001,POINT (-87.566899305833 41.773438566009),2021,1365
O1217710,DRIVER,488234f2380e367e5d7a388c8bdb6708910293224fa5da118e5275977e33fc28a82f455ae6df922a75ba6588ffc19f4eefd886ae9025e1a87f219fab6cb83284,JE429257,1155464.0,10/24/2021 06:00:00 PM,CHICAGO,IL,60614,F,35.0,SAFETY BELT USED,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE429257,10/24/2021 06:00:00 PM,20,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,Y,"$501 - $1,500",10/31/2021 05:30:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1607,W,FULLERTON AVE,1811.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18,1,10,41.925036971,-87.66851499,POINT (-87.668514990308 41.925036971007),2021,1080
O1142496,DRIVER,d6af29a088c4a36a33ba4c3a47e4c24393792dcd30bf106014e9f8f110e3fbaf5cc6936fbb9f0107026faaca6317613361f62872e578ab9b2bd63546c7269d1c,JE305812,1083709.0,07/18/2021 04:40:00 PM,ORLAND HILLS,IL,60487,M,42.0,SAFETY BELT USED,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE305812,07/18/2021 04:40:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,Y,"OVER $1,500",07/18/2021 05:05:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,499,W,MONTROSE HARBOR DR,1915.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,1,7,41.960172428,-87.639986081,POINT (-87.639986080639 41.960172427932),2021,1000
O1146504,DRIVER,e4c9cce3c96e97f9cba71128dc481d1790ea2d051698dcf55fd32500dde0eca3cb4f4bd00ef86a825afa040134c7e79f5659a834eba7edbe0099d5819c1f40ac,JE312476,1087568.0,07/24/2021 01:00:00 PM,CHICAGO,IL,60629,M,44.0,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,FOLLOWED TOO CLOSELY,UNKNOWN,UNKNOWN,TEST NOT OFFERED,2021,JE312476,07/24/2021 01:00:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,Y,$500 OR LESS,07/24/2021 01:30:00 PM,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,5101,S,WESTERN BLVD,932.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13,7,7,41.801085567,-87.68352489899999,POINT (-87.683524898738 41.801085567475),2021,780
O1085147,DRIVER,a751f48b386a9bea6ea1c5f0fd54d166587aa5f7ed3e0dbea5d4e38d2fe6922ce78c955a401c1a7947af0c58e90c8afce0faf97d837b2530d4b89f28f3a1a27a,JE213930,1029179.0,04/28/2021 01:00:00 PM,CHICAGO,IL,60632,M,46.0,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE213930,04/28/2021 01:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,Y,"OVER $1,500",04/29/2021 01:40:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3832,S,KEDZIE AVE,911.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,4,4,41.823452425,-87.704569655,POINT (-87.704569654992 41.823452425454),2021,780
O1183413,DRIVER,9aea7ee266419d3d466613c7d3313eed9e7c5ef5d57c20ee416e4e247410d2586985676e53d5da93d5c1ff82653e81795a93e2fd2354b20f7be27c45315e7604,JE373090,1122745.0,09/14/2021 11:00:00 AM,CHICAGO,IL,60624,F,23.0,USAGE UNKNOWN,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,UNKNOWN,UNKNOWN,EMOTIONAL,TEST NOT OFFERED,2021,JE373090,09/14/2021 11:00:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,Y,"OVER $1,500",09/14/2021 11:03:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,800,N,HOMAN AVE,1121.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11,3,9,41.895550156,-87.71158416200001,POINT (-87.711584161892 41.895550155913),2021,660
O1211977,DRIVER,ff1c9cdbc189da86ea28da7525525ca050ebb304178f4f14fe9a0d6faf9390dc62e71da20f4b68db4b3b6e299df6e5a322cdd7d269668eac36a199b88ae14005,JE420856,1150013.0,10/24/2021 01:30:00 PM,CHICAGO,IL,60622,F,35.0,SAFETY BELT USED,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,FOLLOWED TOO CLOSELY,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE420856,10/24/2021 01:30:00 PM,20,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,Y,"OVER $1,500",10/24/2021 02:20:00 PM,WEATHER,NOT APPLICABLE,2600,W,FULLERTON AVE,1431.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,1,10,41.924964154,-87.69254535200001,POINT (-87.692545351889 41.924964153681),2021,810
O1128489,DRIVER,d3637b5367f851bb16743fc851c510c3573d0bdb5b96b8b8487ce6513d5d2b898a3cf981efa98054db291bdcb0f588774ece3c1a4f2189472ad4c384a1c0b037,JE282782,1070448.0,06/28/2021 03:17:00 PM,CHICAGO,IL,60609,F,34.0,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE282782,06/28/2021 03:17:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,TURNING,FOUR WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,Y,"OVER $1,500",06/28/2021 05:46:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3100,S,ASHLAND AVE,912.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,2,6,41.837622344,-87.665887181,POINT (-87.665887180546 41.837622344158),2021,917
O1143370,DRIVER,f087117306e2557fcf464e9f0986384ea0ad327fadcde88483c66158a31dbf133057bbd696c12f1f869140a792da77d7625d1432c63febbbde7630a18a0a4e86,JE307188,1084539.0,07/19/2021 07:57:00 PM,BELLWOOD,IL,60104,M,27.0,SAFETY BELT USED,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE307188,07/19/2021 07:57:00 PM,25,TRAFFIC SIGNAL,NOT FUNCTIONING,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,Y,"$501 - $1,500",07/19/2021 08:26:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3957,W,26TH ST,1031.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19,2,7,41.844145665999996,-87.72440020200001,POINT (-87.724400202223 41.844145665644),2021,1197
O1199632,DRIVER,b48742340b388fcab7bb512471e45dde5c2d1acb1724b07b3c4261506752770347839d205e13a7dd7f279074653996254f9a5ee2744d79d6ea8d03a89f82d1e4,JE400468,1138256.0,10/06/2021 04:20:00 PM,CHICAGO,IL,60629,M,45.0,SAFETY BELT USED,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE400468,10/06/2021 04:20:00 PM,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT ON GRADE,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,Y,"$501 - $1,500",10/06/2021 05:19:00 PM,IMPROPER LANE USAGE,IMPROPER LANE USAGE,3100,S,KEDZIE AVE,1032.0,3,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16,4,10,41.837132671,-87.704967115,POINT (-87.704967114787 41.837132671422),2021,980
